"","time","bby_temp","time_since_start","internal_temp","outer_temp","ex_temp_diff","log_temp_diff"
"3","12:20",24.2415743450501,0,51.19248787,27.01235683,"2.77078248494986","24.18013104"
"4","12:25",24.4998188091424,5,52.00591949,27.26390105,"2.76408224085758","24.74201844"
"5","12:30",24.6255596206123,10,52.0524013,27.5611806,"2.93562097938769","24.4912207"
"6","12:35",24.6340865386824,15,52.0524013,27.60691591,"2.97282937131763","24.44548539"
"7","12:40",24.8524073728796,20,52.00591949,27.60691591,"2.75450853712039","24.39900358"
"8","12:45",24.6390228567258,25,52.0291604,27.67551889,"3.03649603327423","24.35364151"
"9","12:50",24.7547350001332,30,52.00591949,27.74412186,"2.98938685986683","24.26179763"
"10","12:55",24.694203958376,35,52.00591949,27.67551889,"2.98131493162398","24.3304006"
"11","13:00",24.3446790736995,40,52.00591949,27.69838654,"3.35370746630048","24.30753295"
"12","13:05",24.5582173434676,45,52.00591949,27.7212542,"3.16303685653238","24.28466529"
"13","13:15",24.5766285545185,55,51.98267859,27.74412186,"3.16749330548145","24.23855673"
"14","13:20",24.4764502236028,60,51.98267859,27.67551889,"3.1990686663972","24.3071597"
"15","13:25",24.6403690847224,65,51.98267859,27.74412186,"3.10375277527759","24.23855673"
"16","13:30",24.6785049906194,70,51.93619678,27.74412186,"3.06561686938061","24.19207492"
"17","13:41",24.0964240814307,NA,NA,NA,NA,NA
"18","13:45",23.8317463958088,85,51.75026955,27.76698951,"3.93524311419119","23.98328004"
"19","13:51",24.5874043395846,NA,NA,NA,NA,NA
"20","13:55",24.6197250116418,95,51.63406504,27.7212542,"3.10152918835822","23.91281084"
"21","14:00",24.6246620097176,100,51.54110142,27.69838654,"3.07372453028245","23.84271488"
"23","14:05",24.7157301300672,105,51.42489691,27.7212542,"3.00552406993276","23.70364271"
"24","14:10",24.7264915505764,110,51.54110142,27.7212542,"2.99476264942362","23.81984722"
"25","14:20",24.5896491545686,120,51.19248787,27.76698951,"3.17734035543137","23.42549836"
"26","14:26",24.7090036785405,NA,NA,NA,NA,NA
"27","14:35",23.2685256108837,135,51.14600607,27.67551889,"4.40699327911633","23.47048718"
"28","14:40",24.4616174388681,140,50.89035613,27.7212542,"3.25963676113193","23.16910193"
"29","14:45",24.4742029678078,145,50.75091071,27.60691591,"3.1327129421922","23.1439948"
"30","14:50",24.4777985537979,150,50.7044289,27.67551889,"3.19772033620213","23.02891001"
"31","14:51",24.6062592828977,NA,NA,NA,NA,NA
"32","14:55",24.5424978815211,155,50.681188,27.62978357,"3.08728568847894","23.05140443"
"33","15:00",24.443635471996,160,50.681188,27.5611806,"3.117545128004","23.1200074"
"34","15:05",24.3964180221208,165,50.82063342,27.60691591,"3.21049788787923","23.21371751"
"35","15:10",24.3019187808516,170,50.7044289,27.58404826,"3.28212947914838","23.12038064"
"36","15:15",24.2465293130821,175,50.6579471,27.58404826,"3.33751894691792","23.07389884"
"37","15:20",24.4202542697695,180,50.58822438,27.58404826,"3.16379399023051","23.00417612"
"38","15:25",24.4198045797818,185,50.51850167,27.62978357,"3.20997899021816","22.8887181"
"39","15:30",24.3082214026074,190,50.89035613,27.60691591,"3.29869450739261","23.28344022"
